Longitude,Latitude,Type,Name,Street,City,State,Zip_Code,Score
-72.783402,41.546837,Best Burgers,Ted's Restaurant,1046 Broad St,Meriden,CT,6450,5
-72.930373,41.306455,Best Burgers,Louis? Lunch,263 Crown St,New Haven,CT,6511,5
-74.038434,40.889184,Best Burgers,White Manna Hamburgers,358 River St,Hackensack,NJ,7601,5
-74.055478,40.852372,Halls of Fame,Aviation Hall of Fame and Museum of New Jersey,400 Fred Wehran Dr,Teterboro,NJ,7608,5
-74.439743,40.136994,Theme Park,Six Flags Great Adventure,1 Six Flags Blvd,Jackson,NJ,8527,5
-73.986259,40.748171,Halls of Fame,Irish American Baseball Hall of Fame,18 West 33rd Street,New York,NY,10001,5
-73.982758,40.72823,Best Burgers,Brindle Room,277 E 10th St,New York,NY,10009,5
-74.000691,40.730009,Best Burgers,Minetta Tavern,113 MacDougal St.,New York,NY,10012,5
-74.001775,40.737358,Best Burgers,The Little Owl,93 Greenwich Ave,New York,NY,10014,5
-74.003764,40.737972,Best Burgers,Corner Bistro,331 W 4th St,New York,NY,10014,5
-74.00669,40.735583,Best Burgers,The Spotted Pig,314 W 11th St,New York,NY,10014,5
-73.98497,40.762497,Halls of Fame,American Theater Hall of Fame,222 West 51st Street,New York,NY,10019,5
-73.965436,40.805422,NASA Centers,Goddard Institute for Space Studies,2880 Broadway,New York,NY,10025,5
-73.950047,40.810021,Halls of Fame,The Apollo Theatre Hall of Fame,253 West 125th Street,New York,NY,10027,5
-73.957287,40.777477,Best Burgers,Lexington Candy Shop,1226 Lexington Ave,New York,NY,10028,5
-73.913953,40.858799,Halls of Fame,Hall of Fame for Great Americans,2155 University Ave,Bronx,NY,10453,5
-73.922602,40.826983,Halls of Fame,Bronx Walk of Fame,161st Street and Grand Concourse,Bronx,NY,10458,5
-73.677004,40.965491,Theme Park,Rye Playland,100 Playland Pkwy,Rye,NY,10580,5
-74.31937,41.404217,Halls of Fame,Harness Racing Museum & Hall of Fame,240 Main St,Goshen,NY,10924,5
